date,set,index,item-name,category,amazon-link,amazon-price,amazon-discounted-price,amazon-rating,amazon-total-ratings
16_10_2022,AM,55,"LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ASCY, Scarlet Charm, Base stand with Drawer)",Refrigerators,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201ASCY/dp/B084YC1FHT/ref=sr_1_3?keywords=LG+190+L+4+Star+Inverter+Direct-Cool+Single+Door+Refrigerator+%28GL-D201ASCY%2C+Scarlet+Charm%2C+Base+stand+with+Drawer%29&qid=1665941888&qu=eyJxc2MiOiIxLjYzIiwicXNhIjoiMC45NSIsInFzcCI6IjEuMDAifQ%3D%3D&sr=8-3,"23,899","15,990",4.3,"4,705"
16_10_2022,AM,56,"Whirlpool 245 L 3 Star Frost-Free Inverter Double Door Refrigerator (NEO DF258 ROY GERMAN STEEL (3S)-N, German Steel)",Refrigerators,https://www.amazon.in/Whirlpool-Frost-Free-Inverter-Double-Refrigerator/dp/B0B3RKZF3C/ref=sr_1_4?keywords=Whirlpool+245+L+3+Star+Frost-Free+Inverter+Double+Door+Refrigerator+%28NEO+DF258+ROY+GERMAN+STEEL+%283S%29-N%2C+German+Steel%29&qid=1665941892&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-4,"29,450","23,490",4.2,841
16_10_2022,AM,57,"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL, Imperial Silver, Diamond Drum)",Washing Machines,https://www.amazon.in/Samsung-Fully-Automatic-WA65A4002VS-TL-Technology/dp/B08GY3PZQF/ref=sr_1_3?keywords=Samsung+6.5+kg+Fully-Automatic+Top+Loading+Washing+Machine+%28WA65A4002VS%2FTL%2C+Imperial+Silver%2C+Diamond+Drum%29&qid=1665941896&qu=eyJxc2MiOiIwLjkyIiwicXNhIjoiMC4zOSIsInFzcCI6IjAuNTAifQ%3D%3D&sr=8-3,"16,800","13,990",4.4,"25,998"
16_10_2022,AM,58,"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",Washing Machines,https://www.amazon.in/LG-P7020NGAZ-Fully-Automatic-Washing-Machine/dp/B09DD573SY/ref=sr_1_1?keywords=LG+7+Kg+5+Star+Semi-Automatic+Top+Loading+Washing+Machine+%28P7020NGAZ%2C+Dark+Gray%2C+Wind+Jet+Dry%29&qid=1665941900&qu=eyJxc2MiOiIwLjI2IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-1,"16,090","10,990",4.4,"3,503"
16_10_2022,AM,59,"LG 7 Kg 5 Star Inverter Touch Control Fully-Automatic Front Load Washing Machine with Heater (FHM1207SDL, Silver, 6 Motion Direct Drive)",Washing Machines,https://www.amazon.in/LG-Inverter-Control-Fully-Automatic-FHM1207SDL/dp/B09LM39YR9/ref=sr_1_7?keywords=LG+7+Kg+5+Star+Inverter+Touch+Control+Fully-Automatic+Front+Load+Washing+Machine+with+Heater+%28FHM1207SDL%2C+Silver%2C+6+Motion+Direct+Drive%29&qid=1665941904&qu=eyJxc2MiOiIwLjI2IiwicXNhIjoiMC4xNCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-7,"46,990","28,990",4.3,"1,829"
16_10_2022,AM,60,"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",Washing Machines,https://www.amazon.in/Whirlpool-6-5-Fully-Automatic-WHITEMAGIC-ROYAL/dp/B08QNZTQ96/ref=sr_1_3?keywords=Whirlpool+6.5+Kg+5+Star+Royal+Fully-Automatic+Top+Loading+Washing+Machine+%28WHITEMAGIC+ROYAL+6.5+GENX%2C+Grey%2C+Hard+Water+Wash%29&qid=1665941908&qu=eyJxc2MiOiIwLjk0IiwicXNhIjoiMC43NyIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,"18,800","14,240",4.3,"2,409"
16_10_2022,AM,61,"Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.5, Grey, Hard Water Wash)",Washing Machines,https://www.amazon.in/Whirlpool-7-5-Fully-Automatic-ROYAL-PLUS/dp/B082FJ9RS7/ref=sr_1_1?keywords=Whirlpool+7.5+Kg+5+Star+Royal+Plus+Fully-Automatic+Top+Loading+Washing+Machine+%28WHITEMAGIC+ROYAL+PLUS+7.5%2C+Grey%2C+Hard+Water+Wash%29&qid=1665941912&qu=eyJxc2MiOiIwLjk0IiwicXNhIjoiMC42NiIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-1,"20,300","16,690",4.3,"3,399"
16_10_2022,AM,62,"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In - built Heater (WAJ2416SIN, Silver)",Washing Machines,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDU5MDM2NTA3NDM3NTY5OjE2NjU5NDE5MTY6c3BfYXRmOjIwMDY3OTQzOTc2MDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FBosch-Inverter-Control-Automatic-Loading%2Fdp%2FB08SR372S7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBosch%2B7%2Bkg%2B5%2BStar%2BInverter%2BTouch%2BControl%2BFully%2BAutomatic%2BFront%2BLoading%2BWashing%2BMachine%2Bwith%2BIn%2B-%2Bbuilt%2BHeater%2B%2528WAJ2416SIN%252C%2BSilver%2529%26qid%3D1665941916%26qu%3DeyJxc2MiOiIxLjMwIiwicXNhIjoiMC40NSIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1,"48,590","31,490",4.5,"2,056"
16_10_2022,AM,63,"Pigeon Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",Kitchen & Home Appliances,https://www.amazon.in/Pigeon-Amaze-Plus-1-5-Ltr/dp/B07WMS7TWB/ref=sr_1_3?keywords=Pigeon+Amaze+Plus+Electric+Kettle+%2814289%29+with+Stainless+Steel+Body%2C+1.5+litre%2C+used+for+boiling+Water%2C+making+tea+and+coffee%2C+instant+noodles%2C+soup+etc.+1500+Watt+%28Silver%29&qid=1665941920&qu=eyJxc2MiOiIwLjM2IiwicXNhIjoiMC4xMiIsInFzcCI6IjAuMDAifQ%3D%3D&smid=AXOGFIT0PZZ7G&sr=8-3,"1,195",598,3.9,"112,209"
16_10_2022,AM,65,USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),Kitchen & Home Appliances,https://www.amazon.in/Armour-AR1100WB-1100-Watt-Soleplate-Purple/dp/B0883KDSXC/ref=sr_1_2?keywords=USHA+Armor+AR1100WB+1100+W+Dry+Iron+with+Black+Weilburger+Soleplate+%28Purple%29&qid=1665941924&qu=eyJxc2MiOiIwLjIyIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-2,990,599,4.0,"13,380"
16_10_2022,AM,66,Prestige IRIS Plus 750 watt mixer grinder with Jar,Kitchen & Home Appliances,https://www.amazon.in/Prestige-IRIS-mixer-grinder-Black/dp/B08CFJBZRK/ref=sr_1_3?keywords=Prestige+IRIS+Plus+750+watt+mixer+grinder+with+Jar&qid=1665941928&qu=eyJxc2MiOiIwLjk0IiwicXNhIjoiMC45NiIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,"6,195","2,899",3.8,"11,768"
16_10_2022,AM,68,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",Kitchen & Home Appliances,https://www.amazon.in/Lifelong-LLMG23-500-Watt-Liquidizing-Stainless/dp/B09X5C9VLK/ref=sr_1_4?keywords=Lifelong+LLMG23+Power+Pro+500-Watt+Mixer+Grinder+with+3+Jars+%28Liquidizing%2C+Wet+Grinding+and+Chutney+Jar%29%2C+Stainless+Steel+blades%2C+1+Year+Warranty+%28Black%29&qid=1665941932&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-4,"3,500","1,399",3.8,"40,086"
16_10_2022,AM,69,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",Kitchen & Home Appliances,https://www.amazon.in/Prestige-Electric-Kettle-PKOSS-1500watts/dp/B01MQZ7J8K/ref=sr_1_3?keywords=Prestige+Electric+Kettle+PKOSS+-+1500watts%2C+Steel+%281.5Ltr%29%2C+Black&qid=1665941936&qu=eyJxc2MiOiIwLjY3IiwicXNhIjoiMC4zNSIsInFzcCI6IjAuMzAifQ%3D%3D&sr=8-3,"1,445",735,3.9,"61,107"
